id,name,code,country_id:id
state_ve_amazonas,Amazonas,AM,base.ve
state_ve_anzoategui,Anzoategui,AN,base.ve
state_ve_apure,Apure,AP,base.ve
state_ve_aragua,Aragua,AR,base.ve
state_ve_barinas,Barinas,BA,base.ve
state_ve_bolivar,Bolivar,BO,base.ve
state_ve_carabobo,Carabobo,CA,base.ve
state_ve_cojedes,Cojedes,CO,base.ve
state_ve_delta,Delta Amacuro,DA,base.ve
state_ve_dc,Distrito Capital,DC,base.ve
state_ve_falcon,Falcon,FA,base.ve
state_ve_guarico,Guarico,GU,base.ve
state_ve_lara,Lara,LA,base.ve
state_ve_merida,Merida,ME,base.ve
state_ve_miranda,Miranda,MI,base.ve
state_ve_monagas,Monagas,MO,base.ve
state_ve_ne,Nueva Esparta,NE,base.ve
state_ve_portuguesa,Portuguesa,PO,base.ve
state_ve_sucre,Sucre,SU,base.ve
state_ve_tachira,Tachira,TA,base.ve
state_ve_trujillo,Trujillo,TR,base.ve
state_ve_vargas,La Guaira,LG,base.ve
state_ve_yaracuy,Yaracuy,YA,base.ve
state_ve_zulia,Zulia,ZU,base.ve
